effectsize_id,study_id,author,year,country,journal,DOI,include,age_mean,age_med,age_min,age_max,gender,population,total_sample,ni,cm_measure,measure_mod,item_number,reliability,subtype_reliability,su_measure,cm_type,mod_cm,substance,su_mod,control_id,prop_control,mean_control,sd_control,n_control,prop_cm,mean_cm,sd_cm,n_cm,OR,or_cilb,or_ciub,ri,effectsize_metric,notes,specific_notes,additional_notes,guo_include,robust_1,robust_2,robust_3,robust_4,robust_5,robust_6
1,1,"Alvarez-Alonso, M.J., Jurado-Barba, R., Martinex-Martin, N., Espin-Jaime, J.C., Bolanos-Porrero, C., Ordonez-Franco, A., Rodriguez-Lopez, J.A., Lora-Pablos, D., de la Cruz-Bértolo, J., Jimenez-Arriero, M.A., Manzanares, J., Rubio, G.",2016,Spain,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2015.07.014,1,16.4,,13,19,81.7,clincal programs & community sources,655,165,self-report CTQ-SF,self-report,28,,,"SCI (DSM5), PEI",SA,SA,polydrug,any,1,,,,,,,,,13.76,7.192,26.325,,OR,sa x polydrug (alcohol & cannabis),table 4,,,1,1,1,1,1,1
2,1,"Alvarez-Alonso, M.J., Jurado-Barba, R., Martinex-Martin, N., Espin-Jaime, J.C., Bolanos-Porrero, C., Ordonez-Franco, A., Rodriguez-Lopez, J.A., Lora-Pablos, D., de la Cruz-Bértolo, J., Jimenez-Arriero, M.A., Manzanares, J., Rubio, G.",2016,Spain,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2015.07.014,1,16.4,,13,19,81.7,clincal programs & community sources,655,165,self-report CTQ-SF,self-report,28,,,"SCI (DSM5), PEI",PA,PA,polydrug,any,1,,,,,,,,,3.662,2.361,5.682,,OR,pa x polydrug (alcohol & cannabis),table 4,,,1,1,1,1,1,1
3,1,"Alvarez-Alonso, M.J., Jurado-Barba, R., Martinex-Martin, N., Espin-Jaime, J.C., Bolanos-Porrero, C., Ordonez-Franco, A., Rodriguez-Lopez, J.A., Lora-Pablos, D., de la Cruz-Bértolo, J., Jimenez-Arriero, M.A., Manzanares, J., Rubio, G.",2016,Spain,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2015.07.014,1,16.4,,13,19,81.7,clincal programs & community sources,655,165,self-report CTQ-SF,self-report,28,,,"SCI (DSM5), PEI",EA,EA,polydrug,any,1,,,,,,,,,1.573,1.041,2.377,,OR,ea x polydrug (alcohol & cannabis),table 4,,,1,1,1,1,1,1
4,1,"Alvarez-Alonso, M.J., Jurado-Barba, R., Martinex-Martin, N., Espin-Jaime, J.C., Bolanos-Porrero, C., Ordonez-Franco, A., Rodriguez-Lopez, J.A., Lora-Pablos, D., de la Cruz-Bértolo, J., Jimenez-Arriero, M.A., Manzanares, J., Rubio, G.",2016,Spain,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2015.07.014,1,16.4,,13,19,81.7,clincal programs & community sources,655,165,self-report CTQ-SF,self-report,28,,,"SCI (DSM5), PEI",PN,PN,polydrug,any,1,,,,,,,,,4.506,2.845,7.137,,OR,pn x polydrug (alcohol & cannabis),table 4,,,1,1,1,1,1,1
5,1,"Alvarez-Alonso, M.J., Jurado-Barba, R., Martinex-Martin, N., Espin-Jaime, J.C., Bolanos-Porrero, C., Ordonez-Franco, A., Rodriguez-Lopez, J.A., Lora-Pablos, D., de la Cruz-Bértolo, J., Jimenez-Arriero, M.A., Manzanares, J., Rubio, G.",2016,Spain,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2015.07.014,1,16.4,,13,19,81.7,clincal programs & community sources,655,165,self-report CTQ-SF,self-report,28,,,"SCI (DSM5), PEI",EN,EN,polydrug,any,1,,,,,,,,,1.791,1.246,2.572,,OR,en x polydrug (alcohol & cannabis),table 4,,,1,1,1,1,1,1
6,2,"Arata, C.M., Langhinrichsen-Rohling, J., Bowers, D., O'Brien, N.",2007,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2006.09.006,1,15.6,,13,18,53.3,"middle school & high school students from Mobile, Alabama ",1452,247,self-report CTQ-SF,self-report,34,.71-.91,,self-report,N,N,any,any,2,,2.12,3.13,415,,2.66,3.63,247,,,,,,n x substance use,table 4,"any = alcohol, marijuana, illicit drugs",1,1,1,1,1,1,1
7,2,"Arata, C.M., Langhinrichsen-Rohling, J., Bowers, D., O'Brien, N.",2007,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2006.09.006,1,15.6,,13,18,53.3,"middle school & high school students from Mobile, Alabama ",1452,60,self-report CTQ-SF,self-report,34,.71-.91,,self-report,PA,PA,any,any,2,,2.12,3.13,415,,1.48,2.18,60,,,,,,pa x substance use,table 4,,1,1,1,1,1,1,1
8,2,"Arata, C.M., Langhinrichsen-Rohling, J., Bowers, D., O'Brien, N.",2007,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2006.09.006,1,15.6,,13,18,53.3,"middle school & high school students from Mobile, Alabama ",1452,115,self-report CTQ-SF,self-report,34,.71-.91,,self-report,SA,SA,any,any,2,,2.12,3.13,415,,2.07,3.04,115,,,,,,sa x substance use ,table 4,,1,1,1,1,1,1,1
9,2,"Arata, C.M., Langhinrichsen-Rohling, J., Bowers, D., O'Brien, N.",2007,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2006.09.006,1,15.6,,13,18,53.3,"middle school & high school students from Mobile, Alabama ",1452,90,self-report CTQ-SF,self-report,34,.71-.91,,self-report,PA x N,any,any,any,2,,2.12,3.13,415,,4.2,4.37,90,,,,,,pa+n x substance use,table 4,,1,1,1,1,1,1,1
10,2,"Arata, C.M., Langhinrichsen-Rohling, J., Bowers, D., O'Brien, N.",2007,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2006.09.006,1,15.6,,13,18,53.3,"middle school & high school students from Mobile, Alabama ",1452,114,self-report CTQ-SF,self-report,34,.71-.91,,self-report,SA x N,any,any,any,2,,2.12,3.13,415,,0.86,3.65,114,,,,,,sa+n x substance use,table 4,,1,1,1,1,1,1,1
11,2,"Arata, C.M., Langhinrichsen-Rohling, J., Bowers, D., O'Brien, N.",2007,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2006.09.006,1,15.6,,13,18,53.3,"middle school & high school students from Mobile, Alabama ",1452,45,self-report CTQ-SF,self-report,34,.71-.91,,self-report,PA x SA,any,any,any,2,,2.12,3.13,415,,2.42,3.68,45,,,,,,pa+sa x substance use,table 4,,1,1,1,1,1,1,1
12,2,"Arata, C.M., Langhinrichsen-Rohling, J., Bowers, D., O'Brien, N.",2007,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2006.09.006,1,15.6,,13,18,53.3,"middle school & high school students from Mobile, Alabama ",1452,178,self-report CTQ-SF,self-report,34,.71-.91,,self-report,PA x SA x N,any,any,any,2,,2.12,3.13,415,,4.11,4.26,178,,,,,,pa+sa+n substance use,table 4,,1,1,1,1,1,1,1
13,3,"Brown, M.P.",2019,USA,Dissertation,https://www.proquest.com/docview/2291469352?pq-origsite=primo,1,13.8,,12,18,39.8,from aid to families with dependent children program ,545,488,case report & parent,case records,,,,DISC ,CM,any,alcohol & cannabis,any,3,,0.35,1.74,223,,0.55,2.36,488,,,,,,W2 substance use & dependence symptoms,"table 1, bivariate, p.97","received mean(SD) estimates for control group (non-maltreated participants) from M., Brown on 2022-04-05 via email",1,1,1,1,1,1,1
14,3,"Brown, M.P.",2019,USA,Dissertation,https://www.proquest.com/docview/2291469352?pq-origsite=primo,1,16.2,,15,21,39.8,from aid to families with dependent children program ,545,355,case report & parent,case records,,,,DISC ,CM,any,alcohol & cannabis,any,4,,1.21,3.03,173,,1.59,3.48,355,,,,,,W3 substance use & dependence symptoms,"table 1, bivariate, p.97","received mean(SD) estimates for control group (non-maltreated participants) from M., Brown on 2022-04-05 via email",1,1,1,1,1,1,1
15,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.59,PN,self-report,PN,PN,alcohol,alcohol,5,,,,,,,,,,,,0.07,r,pn x alcohol,"table 2, bivariate",,,1,1,1,1,1,1
16,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.59,PN,self-report,PN,PN,illicit drug,illicit drug,5,,,,,,,,,,,,0.16,r,pn x illicit drug,"table 2, bivariate",,,1,1,1,1,1,1
17,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.59,PN,self-report,PN,PN,cigarette ,cigarette,5,,,,,,,,,,,,0.16,r,pn x cigarette,"table 2, bivariate",,,1,1,1,1,1,1
18,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.88,EN,self-report,EN,EN,alcohol,alcohol,5,,,,,,,,,,,,0.05,r,en x alcohol,"table 2, bivariate",,,1,1,1,1,1,1
19,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.88,EN,self-report,EN,EN,illicit drug,illicit drug,5,,,,,,,,,,,,0.13,r,en x illicit drug,"table 2, bivariate",,,1,1,1,1,1,1
20,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.88,EN,self-report,EN,EN,cigarette ,cigarette,5,,,,,,,,,,,,0.19,r,en x cigarette,"table 2, bivariate",,,1,1,1,1,1,1
